ffffffff,ffffffff
00000000,003fffff
00000000,003fffff
00000000,003fffff
00000000,003fffff
00000000,003fffff
00000000,003fffff
00000000,003fffff
00000000,003fffff
00000000,00000002
00000fff,ffc00000
00000fff,ffc00000
00000fff,ffc00000
00000fff,ffc00000
00000fff,ffc00000
00000fff,ffc00000
00000fff,ffc00000
00000fff,ffc00000
00000000,00000004
00000000,00000008
00000000,00000010
00000000,00000020
00000000,00000040
00000000,00000080
00000000,00000100
00000000,00000200
00000000,00000400
00000000,003fffff
00000000,00000800
00000000,00001000
00000000,00002000
00000000,00004000
00000000,00008000
00000000,00010000
00000000,00020000
00000000,00040000
00000000,00080000
00000000,00100000
ffffffff,ffffffff
00000000,00200000
00000000,00000001
00000000,00000002
00000000,00000004
00000000,00000001
00000000,00000010
00000000,00000020
00000000,00000040
00000000,00000080
00000000,00000100
ffffffff,ffffffff
00000000,00000200
00000000,00000400
00000000,00000800
00000000,00001000
00000000,00002000
00000000,00004000
00000000,00008000
00000000,00010000
00000000,00020000
00000000,00040000
ffffffff,ffffffff
ffffffff,ffffffff
ffffffff,ffffffff
00000000,00000400
00000000,00002000
00000000,00080000
00000000,00100000
00000000,00200000
00000000,00000001
00000000,00000002
ffffffff,ffffffff
00000000,00000004
00000000,00000002
00000000,00000010
00000000,00000020
00000000,00000040
00000000,00000080
00000000,00000100
00000000,00000200
00000000,00000400
00000000,00000800
00000000,00001000
00000000,00002000
00000000,00004000
00000000,00008000
00000000,00010000
00000000,00020000
00000000,00040000
00000000,00080000
00000000,00100000
00000000,00200000
00000000,00000001
00000000,00000002
00000000,00000004
00000000,00000001
00000000,00000010
00000000,00000020
00000000,00000040
00000000,00000080
00000000,00000100
00000000,00000200
00000000,00000400
00000000,00000800
00000000,00001000
00000000,00002000
00000000,00004000
00000000,00008000
00000000,00010000
00000000,00020000
00000000,00040000
00000000,00080000
00000000,00010000
00000000,00020000
00000000,00000080
00000000,00000100
00000000,00000200
ffffffff,ffffffff
00000000,00004000
00000000,00008000
00000080,00000000
00000100,00000000
00000200,00000000
00000000,00000800
00000000,00040000
00000000,00001000
ffffffff,ffffffff
00000400,00000000
00000800,00000000
ffffffff,ffffffff
ffffffff,ffffffff
ffffffff,ffffffff
ffffffff,ffffffff
00000000,003fffff
00000000,00000001
00000000,00080000
00000000,00100000
00000000,00200000
00000000,00000001
00000000,003fffff
